data.date,data.owned or leased,data.parking spaces,data.status,data.type,location.congressional district,location,region_id,data.disabilities.ADA Accessible,usable,City,location.address.state,address_code
0,OWNED,0,ACTIVE,BUILDING,98,DC0301,11,Will Conform,0,WASHINGTON,DC,20551
1988.5.15,LEASED,0,ACTIVE,BUILDING,98,DC0302,11,Yes,61546,WASHINGTON,DC,200053200
1982.1.1,LEASED,6,ACTIVE,BUILDING,98,DC0309,11,Will Conform,190051,WASHINGTON,DC,200242800
1983.1.1,OWNED,101,ACTIVE,BUILDING,98,DC0313,11,Will Conform,86030,WASHINGTON,DC,200012604
0,LEASED,195,ACTIVE,BUILDING,98,DC0319,11,Will Conform,176778,WASHINGTON,DC,200054701
0,LEASED,10,ACTIVE,BUILDING,98,DC0320,11,Will Conform,220973,WASHINGTON,DC,200041710
0,LEASED,167,ACTIVE,BUILDING,98,DC0321,11,Will Conform,313516,WASHINGTON,DC,200012733
0,LEASED,0,ACTIVE,BUILDING,98,DC0322,11,No,408,WASHINGTON,DC,20016
0,LEASED,0,ACTIVE,BUILDING,98,DC0327,11,Will Conform,9966,WASHINGTON,DC,200042601
0,LEASED,77,ACTIVE,BUILDING,98,DC0328,11,Will Conform,157047,WASHINGTON,DC,200052107
0,LEASED,2,ACTIVE,BUILDING,98,DC0329,11,Yes,706,WASHINGTON,DC,20024
0,LEASED,2,ACTIVE,BUILDING,98,DC0331,11,Yes,178015,WASHINGTON,DC,200242760
0,LEASED,0,ACTIVE,BUILDING,98,DC0335,11,Will Conform,126042,WASHINGTON,DC,200242123
0,LEASED,14,ACTIVE,BUILDING,98,DC0343,11,Yes,99486,WASHINGTON,DC,200242169
0,LEASED,0,ACTIVE,BUILDING,98,DC0345,11,Will Conform,72636,WASHINGTON,DC,200061103
0,LEASED,0,ACTIVE,BUILDING,98,DC0347,11,Will Conform,129194,WASHINGTON,DC,200363811
0,LEASED,0,ACTIVE,BUILDING,98,DC0364,11,Will Conform,58617,WASHINGTON,DC,200013796
0,LEASED,18,ACTIVE,BUILDING,98,DC0365,11,Will Conform,297868,WASHINGTON,DC,200243212
0,LEASED,3,ACTIVE,BUILDING,98,DC0366,11,Yes,25212,WASHINGTON,DC,200018000
0,LEASED,198,ACTIVE,BUILDING,98,DC0367,11,Will Conform,241738,WASHINGTON,DC,200013710
0,LEASED,5,ACTIVE,BUILDING,98,DC0368,11,Will Conform,130711,WASHINGTON,DC,200042923
0,LEASED,796,ACTIVE,BUILDING,98,DC0369,11,Will Conform,545731,WASHINGTON,DC,200243210
0,LEASED,3,ACTIVE,BUILDING,98,DC0373,11,Will Conform,19330,WASHINGTON,DC,200024243
0,LEASED,1,ACTIVE,BUILDING,98,DC0376,11,Will Conform,157154,WASHINGTON,DC,200242104
0,LEASED,215,ACTIVE,BUILDING,98,DC0382,11,Will Conform,209865,WASHINGTON,DC,200013718
0,LEASED,0,ACTIVE,BUILDING,98,DC0388,11,Will Conform,67940,WASHINGTON,DC,200041107
0,LEASED,2,ACTIVE,BUILDING,98,DC0391,11,No,17500,WASHINGTON,DC,200181520
0,LEASED,0,ACTIVE,BUILDING,98,DC0392,11,Will Conform,60081,WASHINGTON,DC,200012760
1990.10.1,OWNED,0,ACTIVE,BUILDING,98,DC0394,11,Will Conform,7506,WASHINGTON,DC,205850002
0,LEASED,0,ACTIVE,BUILDING,98,DC0397,11,Will Conform,10424,WASHINGTON,DC,200181526
1934.1.1,OWNED,0,ACTIVE,STRUCTURE,98,DC0400,11,Will Conform,0,WASHINGTON,DC,200032211
0,LEASED,20,ACTIVE,BUILDING,98,DC0403,11,Will Conform,64928,WASHINGTON,DC,200242141
0,LEASED,108,ACTIVE,BUILDING,98,DC0406,11,Will Conform,210312,WASHINGTON,DC,200024244
0,LEASED,0,ACTIVE,BUILDING,98,DC0407,11,Yes,0,WASHINGTON,DC,20024
0,LEASED,1,ACTIVE,BUILDING,98,DC0409,11,Will Conform,109433,WASHINGTON,DC,200243208
0,OWNED,0,ACTIVE,STRUCTURE,98,DC0412,11,Will Conform,0,WASHINGTON,DC,202420001
0,OWNED,0,ACTIVE,BUILDING,98,DC0414,11,Will Conform,0,WASHINGTON,DC,202420003
0,LEASED,0,ACTIVE,BUILDING,98,DC0422,11,Will Conform,21361,WASHINGTON,DC,200053317
0,LEASED,0,ACTIVE,BUILDING,98,DC0423,11,Will Conform,29035,WASHINGTON,DC,200364542
0,LEASED,2,ACTIVE,BUILDING,98,DC0424,11,Will Conform,39648,WASHINGTON,DC,200363209
0,LEASED,55,ACTIVE,BUILDING,98,DC0426,11,Will Conform,93157,WASHINGTON,DC,200052110
0,LEASED,0,ACTIVE,BUILDING,98,DC0432,11,Will Conform,30327,WASHINGTON,DC,200363406
0,OWNED,0,ACTIVE,BUILDING,98,DC0433,11,Will Conform,0,WASHINGTON,DC,200242126
0,LEASED,0,ACTIVE,BUILDING,98,DC0437,11,Will Conform,52704,WASHINGTON,DC,200053000
0,OWNED,0,ACTIVE,BUILDING,98,DC0440,11,Will Conform,0,WASHINGTON,DC,200083812
0,OWNED,0,ACTIVE,BUILDING,98,DC0441,11,Will Conform,0,WASHINGTON,DC,200150000
0,OWNED,0,ACTIVE,BUILDING,98,DC0442,11,Will Conform,0,WASHINGTON,DC,200151008
0,OWNED,0,ACTIVE,BUILDING,98,DC0443,11,Will Conform,0,WASHINGTON,DC,200151004
0,OWNED,0,ACTIVE,BUILDING,98,DC0444,11,Will Conform,0,WASHINGTON,DC,200080000
0,OWNED,0,ACTIVE,BUILDING,98,DC0445,11,Will Conform,0,WASHINGTON,DC,200080000
0,OWNED,0,ACTIVE,BUILDING,98,DC0446,11,Will Conform,0,WASHINGTON,DC,200070000
0,OWNED,0,ACTIVE,BUILDING,98,DC0447,11,Will Conform,0,WASHINGTON,DC,200073702
0,LEASED,1,ACTIVE,BUILDING,98,DC0454,11,Will Conform,438258,WASHINGTON,DC,200024270
